sample_id,domain,url,split,label,p_url,p_website,p_visual,has_password_field,has_external_password_form,external_action_count,login_forms_count,external_link_ratio,null_link_ratio,security_header_score,has_centered_card,whitespace_ratio,edge_density,url_length,entropy_score,count_subdomains,has_ip_address,has_punycode
sample_000_micros0ft-online-security_com,micros0ft-online-security.com,https://micros0ft-online-security.com/auth/login.php,test,1,0.9718,0.9707,0.8273,1,1,1,1,0.0,0.0,0.0,1,0.967,0.0121,52,0.0,0,0,0
sample_001_paypal-account-revalidation_net,paypal-account-revalidation.net,https://paypal-account-revalidation.net/webapps/security-check,train,1,0.9105,0.9707,0.9759,1,1,1,1,0.0,0.0,0.0,1,0.959,0.0175,62,0.0,0,0,0
sample_002_wellsfarg0-secure-authentication_com,wellsfarg0-secure-authentication.com,https://wellsfarg0-secure-authentication.com/auth/login,train,1,0.8676,0.9707,0.9724,1,1,1,1,0.0,0.0,0.0,1,0.154,0.0217,55,0.0,0,0,0
sample_003_chase-security-update-portal_org,chase-security-update-portal.org,https://chase-security-update-portal.org/secure/login,train,1,0.8242,0.9707,0.9955,1,1,1,1,0.0,0.0,0.0,0,0.166,0.0181,53,0.0,0,0,0
sample_004_docusign-document-verify-online_com,docusign-document-verify-online.com,https://docusign-document-verify-online.com/access/document,val,1,0.8425,0.9707,0.7537,1,1,1,1,0.0,0.0,0.0,1,0.976,0.0222,59,0.0,0,0,0
sample_005_netflix-billing-reactivation_com,netflix-billing-reactivation.com,https://netflix-billing-reactivation.com/browse/update-payment,test,1,0.9055,0.9707,0.9302,1,1,1,1,0.0,0.0,0.0,1,0.001,0.0085,62,0.0,0,0,0
sample_006_apple-id-suspended-security_net,apple-id-suspended-security.net,https://apple-id-suspended-security.net/auth/verify,train,1,0.845,0.9707,0.9937,1,1,1,1,0.0,0.0,0.0,1,0.965,0.0167,51,0.0,0,0,0
sample_007_amazon-prime-delivery-update_info,amazon-prime-delivery-update.info,https://amazon-prime-delivery-update.info/order/reschedule,train,1,0.8538,0.9707,0.963,1,1,1,1,0.0,0.0,0.0,1,0.98,0.0171,58,0.0,0,0,0
sample_008_dropbox-secure-share-link_com,dropbox-secure-share-link.com,https://dropbox-secure-share-link.com/s/login,test,1,0.5963,0.9707,0.9784,1,1,1,1,0.0,0.0,0.0,1,0.981,0.0152,45,0.0,0,0,0
sample_009_bankofamerica-online-id-verify_com,bankofamerica-online-id-verify.com,https://bankofamerica-online-id-verify.com/login,train,1,0.3996,0.9707,0.9898,1,1,1,1,0.0,0.0,0.0,1,0.912,0.0199,48,0.0,0,0,0
sample_010_citi-online-fraud-prevention_net,citi-online-fraud-prevention.net,https://citi-online-fraud-prevention.net/citiphishing,val,1,0.642,0.9707,0.9921,1,1,1,1,0.0,0.0,0.0,1,0.106,0.013,53,0.0,0,0,0
sample_011_linkedin-security-verification_com,linkedin-security-verification.com,https://linkedin-security-verification.com/checkpoint/lg/login,train,1,0.8905,0.9707,0.9932,1,1,1,1,0.0,0.0,0.0,1,0.097,0.0129,62,0.0,0,0,0
sample_012_instagram-copyright-infringement_org,instagram-copyright-infringement.org,https://instagram-copyright-infringement.org/appeal/form,train,1,0.8338,0.9707,0.9249,1,1,1,1,0.0,0.0,0.0,1,0.984,0.0138,56,0.0,0,0,0
sample_013_google-drive-shared-doc-view_net,google-drive-shared-doc-view.net,https://google-drive-shared-doc-view.net/share/doc19382,test,1,0.9555,0.9707,0.9828,1,1,1,1,0.0,0.0,0.0,1,0.137,0.015,55,0.0,0,0,0
sample_014_outlook-session-expired-portal_com,outlook-session-expired-portal.com,https://outlook-session-expired-portal.com/owa/auth,train,1,0.6482,0.9707,0.9953,1,1,1,1,0.0,0.0,0.0,0,0.117,0.0131,51,0.0,0,0,0
sample_015_steam-community-trade-security_com,steam-community-trade-security.com,https://steam-community-trade-security.com/trade/offer,train,1,0.845,0.9707,0.9501,1,1,1,1,0.0,0.0,0.0,1,0.001,0.0058,54,0.0,0,0,0
sample_016_coinbase-urgent-kyc-verify_net,coinbase-urgent-kyc-verify.net,https://coinbase-urgent-kyc-verify.net/signin,train,1,0.3098,0.9707,0.9814,1,1,1,1,0.0,0.0,0.0,1,0.001,0.0081,45,0.0,0,0,0
sample_017_binance-security-authentication_info,binance-security-authentication.info,https://binance-security-authentication.info/en/login,train,1,0.673,0.9707,0.9868,1,1,1,1,0.0,0.0,0.0,1,0.0,0.0054,53,0.0,0,0,0
sample_018_yahoo-mail-login-verification_org,yahoo-mail-login-verification.org,https://yahoo-mail-login-verification.org/login,test,1,0.3181,0.9707,0.9877,1,1,1,1,0.0,0.0,0.0,1,0.981,0.0118,47,0.0,0,0,0
sample_019_adobe-id-document-cloud-sign_com,adobe-id-document-cloud-sign.com,https://adobe-id-document-cloud-sign.com/document/sign,train,1,0.865,0.9707,0.9793,1,1,1,1,0.0,0.0,0.0,1,0.981,0.0113,54,0.0,0,0,0
sample_020_zoom-video-meeting-invite-auth_com,zoom-video-meeting-invite-auth.com,https://zoom-video-meeting-invite-auth.com/j/login,train,1,0.6824,0.9707,0.9911,1,1,1,1,0.0,0.0,0.0,1,0.979,0.0138,50,0.0,0,0,0
sample_021_icloud-storage-full-warning_com,icloud-storage-full-warning.com,https://icloud-storage-full-warning.com/manage,train,1,0.3031,0.9707,0.991,1,1,1,1,0.0,0.0,0.0,1,0.981,0.0117,46,0.0,0,0,0
sample_022_dhl-express-dispatch-customs_net,dhl-express-dispatch-customs.net,https://dhl-express-dispatch-customs.net/tracking/fee,train,1,0.8408,0.0998,0.9931,0,0,1,0,0.0,0.0,0.0,1,0.898,0.0208,53,0.0,0,0,0
sample_023_fedex-parcel-delivery-hold_org,fedex-parcel-delivery-hold.org,https://fedex-parcel-delivery-hold.org/package/update,val,1,0.8472,0.0998,0.9789,0,0,1,0,0.0,0.0,0.0,1,0.898,0.0214,53,0.0,0,0,0
sample_024_telegram-web-instant-login_com,telegram-web-instant-login.com,https://telegram-web-instant-login.com/auth/code,train,1,0.7058,0.9707,0.9682,1,1,1,1,0.0,0.0,0.0,1,0.98,0.0133,48,0.0,0,0,0
sample_025_wikipedia_org,wikipedia.org,https://en.wikipedia.org/wiki/Computer_security,test,0,0.9877,0.0998,0.0138,0,0,0,0,0.0,0.0,0.0,0,0.904,0.1069,47,0.0,1,0,0
sample_026_python_org,python.org,https://www.python.org/,train,0,0.7746,0.0998,0.0085,0,0,0,0,0.0,0.0,0.0,0,0.226,0.0584,23,0.0,1,0,0
sample_027_github_com,github.com,https://github.com/explore,train,0,0.0,0.0998,0.0548,0,0,0,0,0.0,0.0,0.0,0,0.671,0.0483,26,0.0,0,0,0
sample_028_mozilla_org,mozilla.org,https://www.mozilla.org/en-US/,test,0,0.7703,0.0998,0.0303,0,0,0,0,0.0,0.0,0.0,0,0.382,0.037,30,0.0,1,0,0
sample_029_apache_org,apache.org,https://www.apache.org/,val,0,0.763,0.0998,0.036,0,0,0,0,0.0,0.0,0.0,0,0.744,0.0471,23,0.0,1,0,0
sample_030_w3_org,w3.org,https://www.w3.org/,train,0,0.6338,0.0998,0.1349,0,0,0,0,0.0,0.0,0.0,0,0.985,0.0202,19,0.0,1,0,0
sample_031_cloudflare_com,cloudflare.com,https://www.cloudflare.com/,train,0,0.9187,0.0998,0.0916,0,0,0,0,0.0,0.0,0.0,0,0.138,0.0518,27,0.0,1,0,0
